"Time","coredns","etcd","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload","ue-ch-est","ue-ch-est-56967588d5-j4wds","ue-ch-mmse","ue-ch-mmse-86945f4b45-fqhfm","ue-check-crc","ue-check-crc-74c7fc4f64-zfrdr","ue-descrambling","ue-descrambling-c9454ff78-phz8p","ue-layer-demap","ue-layer-demap-7fd5c94944-jh5fm","ue-ldpc-dec","ue-ldpc-dec-57b6745967-s4pd4","ue-ofdm-demod","ue-ofdm-demod-6cf8d58bf7-hd4jd","ue-soft-demod","ue-soft-demod-5bf45b6d95-sgz6h"
1780042385000,0,0.10898735051417538,0,0.01816455841902923,0,0.29063293470446766,0.09082279209514614,0,0.03632911683816171,0,0,0.09082279209514614,0,9.082279209522875,undefined,undefined,undefined,undefined,undefined,9.082279209522875,undefined,9.082279209522875,undefined,9.082279209522875,undefined,0,undefined,9.082279209522875,undefined
1780042386000,0,0.10898735051417538,0,0.01816455841902923,0,0.29063293470446766,0.09082279209514614,0,0.03632911683816171,0,0,0.09082279209514614,0,9.082279209522875,undefined,undefined,undefined,undefined,undefined,9.082279209522875,undefined,9.082279209522875,undefined,9.082279209522875,undefined,0,undefined,9.082279209522875,undefined
1780042387000,0,0.10898735051417538,0,0.01816455841902923,0,0.29063293470446766,0.09082279209514614,0,0.03632911683816171,0,0,0.09082279209514614,0,9.082279209522875,undefined,undefined,undefined,undefined,undefined,9.082279209522875,undefined,9.082279209522875,undefined,9.082279209522875,undefined,0,undefined,9.082279209522875,undefined
1780042388000,0,0.10898735051417538,0,0.01816455841902923,0,0.29063293470446766,0.09082279209514614,0,0.03632911683816171,0,0,0.09082279209514614,0,9.082279209522875,undefined,undefined,undefined,undefined,undefined,9.082279209522875,undefined,9.082279209522875,undefined,9.082279209522875,undefined,0,undefined,9.082279209522875,undefined
1780042389000,0,0.10898735051417538,0,0.01816455841902923,0,0.29063293470446766,0.09082279209514614,0,0.03632911683816171,0,0,0.09082279209514614,0,9.082279209522875,undefined,undefined,undefined,undefined,undefined,9.082279209522875,undefined,9.082279209522875,undefined,9.082279209522875,undefined,0,undefined,9.082279209522875,undefined
1780042390000,0,0.08751738500009919,0.035006954000009825,0.03500695399996008,0,0.29755910900005866,0.1400278160000393,0,0.052510430999940114,0,0,0.017503477000079537,0,8.751738499997979,undefined,undefined,undefined,undefined,undefined,8.751738499997979,undefined,8.751738499997975,undefined,8.751738499997979,undefined,0,undefined,8.751738499997979,undefined
1780042391000,0,0.08751738500009919,0.035006954000009825,0.03500695399996008,0,0.29755910900005866,0.1400278160000393,0,0.052510430999940114,0,0,0.017503477000079537,0,8.751738499997979,undefined,undefined,undefined,undefined,undefined,8.751738499997979,undefined,8.751738499997975,undefined,8.751738499997979,undefined,0,undefined,8.751738499997979,undefined
1780042392000,0,0.08751738500009919,0.035006954000009825,0.03500695399996008,0,0.29755910900005866,0.1400278160000393,0,0.052510430999940114,0,0,0.017503477000079537,0,8.751738499997979,undefined,undefined,undefined,undefined,undefined,8.751738499997979,undefined,8.751738499997975,undefined,8.751738499997979,undefined,0,undefined,8.751738499997979,undefined
1780042393000,0,0.08751738500009919,0.035006954000009825,0.03500695399996008,0,0.29755910900005866,0.1400278160000393,0,0.052510430999940114,0,0,0.017503477000079537,0,8.751738499997979,undefined,undefined,undefined,undefined,undefined,8.751738499997979,undefined,8.751738499997975,undefined,8.751738499997979,undefined,0,undefined,8.751738499997979,undefined
1780042394000,0,0.08751738500009919,0.035006954000009825,0.03500695399996008,0,0.29755910900005866,0.1400278160000393,0,0.052510430999940114,0,0,0.017503477000079537,0,8.751738499997979,undefined,undefined,undefined,undefined,undefined,8.751738499997979,undefined,8.751738499997975,undefined,8.751738499997979,undefined,0,undefined,8.751738499997979,undefined
